trial,state,value,duration_seconds,param_max_features_kind,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1,param_max_features_float
0,COMPLETE,0.5236831674356865,11.178885,log2,500,10.0,20,9,0.2594040281039772,0.08173299190031919,"[0.3766313159601196, 0.5426592612868201, 0.5996622274668729, 0.503432379353934, 0.5960306531106865]",
1,COMPLETE,0.5248342044595298,8.255457,sqrt,300,10.0,10,8,0.2640548787545609,0.08352856780650504,"[0.37797152869207457, 0.5469136602878395, 0.6033579368125093, 0.495081939699283, 0.6008459568059427]",
2,COMPLETE,0.5205263488004241,26.841265,float,500,10.0,15,5,0.26054500039851836,0.09281982154265281,"[0.36808383882939405, 0.5430226372137129, 0.6539115442986203, 0.4911006272571399, 0.546513096403254]",0.3325152889039984
3,COMPLETE,0.5181889964413493,16.768813,log2,700,30.0,16,10,0.2621612397502699,0.0799976008940183,"[0.3783684162092255, 0.5242765385138253, 0.601262567948414, 0.49754689678613034, 0.5894905627491512]",
4,COMPLETE,0.5242769791813413,21.746291,float,300,15.0,12,2,0.26513479329943934,0.08334689399909287,"[0.37109067313835026, 0.5660774350301996, 0.605655463628584, 0.5042983629754881, 0.5742629611340843]",0.36194475143634364
5,PRUNED,0.4152570523523412,8.788714,float,300,6.0,4,9,,,,0.8405713385076601
6,PRUNED,0.4571879247444478,3.371607,sqrt,300,10.0,16,6,,,,
7,PRUNED,0.4455388658521723,4.988183,sqrt,400,30.0,6,5,,,,
8,PRUNED,0.4375686767170559,2.686956,sqrt,300,6.0,18,6,,,,
9,COMPLETE,0.525721248747439,7.775531,log2,200,10.0,6,2,0.26317038620899036,0.08576310743289997,"[0.37222448370376315, 0.5533652183152632, 0.6047762586461729, 0.49859096138805953, 0.5996493216839364]",
10,COMPLETE,0.5296498711492991,6.49202,log2,200,20.0,2,1,0.26810303172256233,0.0741864043173794,"[0.3852426682333912, 0.5660399477321963, 0.5937531445534519, 0.5400527485540499, 0.5631608466734058]",
11,COMPLETE,0.5296498711492991,6.550295,log2,200,20.0,2,1,0.26810303172256233,0.0741864043173794,"[0.3852426682333912, 0.5660399477321963, 0.5937531445534519, 0.5400527485540499, 0.5631608466734058]",
12,COMPLETE,0.5296498711492991,7.577149,log2,200,20.0,2,1,0.26810303172256233,0.0741864043173794,"[0.3852426682333912, 0.5660399477321963, 0.5937531445534519, 0.5400527485540499, 0.5631608466734058]",
13,PRUNED,0.45996776706076137,2.845222,log2,200,20.0,2,3,,,,
14,PRUNED,0.5092837802177299,13.15157,log2,700,20.0,8,1,,,,
15,PRUNED,0.45826788468060775,4.366075,log2,400,8.0,5,3,,,,
16,PRUNED,0.44845627230629315,10.20113,log2,600,,8,4,,,,
