feature,importance
family_oxyhalides,0.08353019505739212
family_perovskites,0.06221186742186546
family_halides,0.05252309516072273
a_r_plus_incl_minus_r_minus,0.03880356252193451
mean_r_all_pm,0.03842249512672424
a_phi_plus_excl_li,0.02518894337117672
mean_field_x_r_diff,0.023145487532019615
b_chi_range_x_r_avg,0.023100197315216064
a_chi_range_x_r_avg,0.022691387683153152
b_r_plus_incl_minus_r_minus,0.022558040916919708
delta_field_x_r_diff,0.021396750584244728
delta_n_li_x_r_minus_pm,0.0213873740285635
a_chi_all,0.01996861770749092
b_phi_plus_excl_li,0.017626319080591202
a_field_x_r_diff,0.016643047332763672
a_r_plus_incl_li_pm,0.01582362689077854
a_r_all_pm,0.01562389638274908
abs_delta_entropy_c_l,0.015390032902359962
composition_L1_distance,0.015376577153801918
delta_log10_rho_plus_incl_li,0.01516596507281065
mean_log10_rho_plus_incl_li,0.015102297067642212
b_chi_all,0.014836032874882221
mean_atwt_geometric_mean_all,0.014768348075449467
b_rho_plus_excl_li_c_m3,0.014177510514855385
abs_delta_log10_rho_plus_incl_li,0.013576009310781956
mean_log10_phi_plus_incl_li,0.013501307927072048
a_n_li_x_r_minus_pm,0.01343616470694542
b_r_plus_incl_li_pm,0.013249361887574196
delta_entropy_c_l,0.013209673576056957
b_chi_plus_excl_minus_chi_minus,0.013148627243936062
delta_chi_all,0.013061928562819958
delta_chi_range_x_r_avg,0.013052324764430523
abs_delta_field_x_r_diff,0.012834016233682632
delta_chi_plus_excl_minus_chi_minus,0.012610557489097118
a_chi_plus_excl_minus_chi_minus,0.01255867350846529
mean_entropy_c_l,0.012478836812078953
b_r_all_pm,0.012428989633917809
delta_phi_plus_excl_li,0.012095320969820023
mean_n_Li,0.012042847461998463
a_rho_plus_excl_li_c_m3,0.01194832008332014
delta_r_plus_incl_minus_r_minus,0.011512350291013718
delta_r_all_pm,0.01141662709414959
delta_r_plus_incl_li_pm,0.011295804753899574
b_r_plus_excl_minus_r_minus,0.011229452677071095
b_field_x_r_diff,0.010988310910761356
delta_n_Li,0.010631031356751919
a_r_plus_excl_minus_r_minus,0.010579317808151245
delta_chi_plus_incl_minus_chi_minus,0.010576184839010239
b_n_li_x_r_minus_pm,0.010546517558395863
delta_r_plus_excl_minus_r_minus,0.010515333153307438
abs_delta_log10_phi_plus_incl_li,0.010405716486275196
b_chi_plus_incl_minus_chi_minus,0.009627864696085453
delta_atwt_geometric_mean_all,0.009546997956931591
delta_log_rho_ratio,0.008609232492744923
delta_rho_plus_excl_li_c_m3,0.008101312443614006
a_chi_plus_incl_minus_chi_minus,0.007143573369830847
delta_ir_mean_square_all,0.006579744163900614
family_argyrodites,0.0
family_Thiophosphate mixture,0.0
family_antiperovskite,0.0
family_garnet,0.0
family_chlorides,0.0
family_chalcogenidotetrelates,0.0
family_garnet_like,0.0
family_lanthanumlithiumoxide,0.0
family_lgps,0.0
family_hexaoxometalates,0.0
family_hydrides,0.0
family_molybdates,0.0
family_lisicon,0.0
family_oxides,0.0
family_nasicon,0.0
family_phosphates,0.0
family_sulfides,0.0
family_thio_lisicon,0.0
family_thio_phosphate,0.0
