feature,importance
family,19.985414669111773
mean_r_all_pm,9.197833877573117
mean_atwt_geometric_mean_all,6.0218374257316745
delta_entropy_c_l,5.984266014840749
abs_delta_entropy_c_l,3.923689162473752
delta_atwt_geometric_mean_all,3.5618867136697485
mean_n_Li,3.4550376501836717
mean_entropy_c_l,3.4220532763818836
delta_chi_all,3.268577072474815
mean_log10_rho_plus_incl_li,3.143795202106768
delta_ir_mean_square_all,3.078844870811445
mean_log10_phi_plus_incl_li,2.9451670496769493
delta_log10_rho_plus_incl_li,2.8769153919337813
composition_L1_distance,2.869375373058144
mean_field_x_r_diff,2.7659946282852035
delta_log_rho_ratio,2.7185326653101005
abs_delta_log10_rho_plus_incl_li,2.6166743131875485
delta_r_all_pm,2.5867295863470865
delta_field_x_r_diff,2.357066674385569
abs_delta_field_x_r_diff,2.164636921024027
abs_delta_log10_phi_plus_incl_li,2.051460518851072
delta_n_Li,2.0217420792265903
mean_chi_all,1.9464847498490472
delta_log10_phi_plus_incl_li,1.44701323354489
delta_n_host_cation,1.435540183959845
abs_delta_n_Li,0.9660062605991042
delta_r_minus_pm,0.8819564500075969
delta_chi_minus,0.30546798539402353
