feature,importance
mean_r_all_pm,605.0
mean_atwt_geometric_mean_all,564.0
abs_delta_field_x_r_diff,418.0
mean_entropy_c_l,418.0
mean_chi_all,415.0
mean_field_x_r_diff,412.0
delta_entropy_c_l,394.0
delta_atwt_geometric_mean_all,367.0
mean_log10_rho_plus_incl_li,362.0
mean_n_Li,352.0
mean_log10_phi_plus_incl_li,349.0
composition_L1_distance,324.0
delta_chi_all,313.0
delta_field_x_r_diff,310.0
delta_r_all_pm,305.0
abs_delta_log10_rho_plus_incl_li,273.0
delta_ir_mean_square_all,270.0
abs_delta_log10_phi_plus_incl_li,261.0
delta_log_rho_ratio,245.0
abs_delta_entropy_c_l,229.0
delta_log10_rho_plus_incl_li,183.0
delta_log10_phi_plus_incl_li,172.0
delta_n_host_cation,155.0
abs_delta_n_Li,154.0
delta_n_Li,126.0
delta_chi_minus,47.0
delta_r_minus_pm,30.0
family,28.0
