trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
0,FAIL,,179.781474,3,1300,0.05092911283433821,8,6,0.9879639408647978,0.9162213204002109,8.148018307012941e-07,0.006517070593249451
1,COMPLETE,0.5013724099901388,0.558043,3,600,0.05092911283433821,8,6,0.9879639408647978,0.9162213204002109,8.148018307012941e-07,0.006517070593249451
2,COMPLETE,0.5297863531545076,0.522659,8,300,0.026969628335735185,32,48,0.6798695128633439,0.7571172192068059,0.0021465011216654484,0.0016142252267366923
3,COMPLETE,0.5994787548392685,0.199523,6,200,0.06378528225249058,32,11,0.798070764044508,0.5171942605576092,1.527156759251193,0.014407524139905934
4,COMPLETE,0.5295595866047814,0.760799,8,600,0.11282325501221332,41,56,0.6353970008207678,0.5979914312095727,2.5529693461039728e-08,0.02861167865082195
5,COMPLETE,0.5490727402571621,0.496774,4,600,0.012237095811188047,16,48,0.679486272613669,0.5027610585618012,0.2183498289760726,1.4611205138065535
6,COMPLETE,0.5555721815042428,0.462008,8,300,0.011878194167382767,24,23,0.8918424713352255,0.8187787356776066,0.9658611176861268,0.13006590833121745
7,COMPLETE,0.5185464697481729,0.540311,6,400,0.0107126079864151,13,6,0.8545641645055122,0.6571779905381634,0.0003776906385115029,11.568715753891583
8,COMPLETE,0.5952317134223516,0.273904,4,600,0.08921200800254407,13,53,0.9214688307596458,0.5932850294430179,1.0790237065789294,0.25983677354021245
9,COMPLETE,0.5186208536585287,0.452982,3,600,0.01019005058575656,8,28,0.6888431241882921,0.5599326836668415,1.0927895733904103e-05,16.65409649522965
10,COMPLETE,0.5208441387062993,0.788263,6,400,0.02258709352990118,23,7,0.8438257335919588,0.7513395116144308,2.906088000706637e-08,0.01768210672688537
11,COMPLETE,0.5361117415577913,0.459685,5,200,0.06587157745499206,29,20,0.7573907581579086,0.97988537297271,0.01620963590242718,0.0016299777657283517
12,COMPLETE,0.4239525700185611,0.508117,-1,500,0.12050722128323613,52,38,0.9573646608130978,0.6577654136842933,8.26315714329753,0.36657750809849077
13,COMPLETE,0.5841412660700206,0.406987,10,200,0.07819929371336529,43,60,0.7984165248678857,0.5150202065778773,0.06012007950445106,0.12931379338922905
14,COMPLETE,0.19546519580122187,0.886163,4,500,0.040332226977607015,10,38,0.9202581903589193,0.632927720971189,9.058875215018697,1.1724308873059208
15,COMPLETE,0.513437191832787,0.390603,4,300,0.08307729708264752,11,15,0.7769047661288304,0.5827488722393499,0.004633011838829146,0.02805149706394702
16,COMPLETE,0.5808405995984979,0.336444,6,500,0.1380224717621954,60,35,0.8536006212901663,0.6751926576054919,0.5656745791135905,0.4831059899937706
17,COMPLETE,0.553167138306127,0.397716,10,200,0.054563746796739025,20,47,0.7437305766955283,0.5534205971854996,3.154443500139822e-05,0.00714111556792369
18,COMPLETE,0.5678956506477174,0.281108,5,400,0.09215555249687643,16,29,0.918350977440793,0.6972407025635017,1.475100884613774,3.6807105601309584
19,COMPLETE,0.538158882926692,0.86636,-1,300,0.027757584202403367,38,15,0.8170810468322353,0.8264423346529436,0.044044427761037154,0.061332484377089186
20,COMPLETE,0.5466593415925126,0.687796,6,500,0.0391354378272987,48,43,0.7285617955673408,0.6020914931801977,0.0008490678272716007,0.008495364754966433
21,COMPLETE,0.5578150238820928,0.23546,4,200,0.06306717787540386,7,54,0.888764421801138,0.5293176581459661,2.4717194468929286e-05,0.09967388568118413
22,COMPLETE,0.6034795989625678,0.336974,10,200,0.08256917330723165,45,60,0.8100314986246205,0.5017009775078684,0.06883346600721493,0.33102583376137734
23,COMPLETE,0.5530983812072122,0.306927,10,200,0.149202667440744,55,60,0.799329137830337,0.5065015937150154,0.10595337014689614,0.4214625696143691
24,COMPLETE,0.5617450105719491,0.217342,10,300,0.09884754658366636,35,53,0.9953505591634746,0.5650124460336882,2.2301008741801613,1.4563640075633553
25,COMPLETE,0.5499783577125168,0.915403,10,400,0.06640455505700778,46,42,0.8300759375100561,0.6221311946960965,0.009942794000120722,0.2783643937558626
26,COMPLETE,0.5605202696706403,0.253334,4,200,0.05275334619438185,13,52,0.7169312543208309,0.7082145733649701,0.5593145366293422,0.05459600521955568
27,COMPLETE,0.5564878668801727,0.468559,6,300,0.07831259544052972,29,12,0.8814851292947203,0.5579720280666618,0.21159852875828916,0.8814666051032201
28,COMPLETE,0.5151952394414893,0.167273,5,200,0.1039417758066679,25,57,0.9438371717922349,0.5392661283932232,3.4062411798068024,0.21904147060920665
29,COMPLETE,0.5631874360455197,0.61803,-1,400,0.0446778941023237,37,24,0.7812216461464945,0.6151938940618707,0.022094810952514123,5.159318419527842
30,COMPLETE,0.5379230131760152,0.459285,3,600,0.03150478682311388,7,50,0.6044461654333582,0.8010941725732601,1.1614088660604258e-06,0.0029134100178024973
31,COMPLETE,0.5790078070886943,0.289173,3,300,0.01864341791625523,7,57,0.9630659181130071,0.532257940228392,0.18683290614154535,3.2240727480508125
32,COMPLETE,0.5502368930019473,0.324505,10,200,0.07435846931480965,45,60,0.803529522681974,0.5040525248998147,0.09180584719216721,0.08246238360876801
33,COMPLETE,0.5246773599972262,0.42745,10,200,0.05782931587878996,43,60,0.795197512461787,0.8949568339640426,0.004369783894015031,0.1652803670484711
34,COMPLETE,0.5731793712760479,0.266401,10,200,0.08371080820055565,52,45,0.7605228734662496,0.5852952541007004,0.46146721612399905,0.017500577234709408
35,COMPLETE,0.5655992101800358,0.407271,8,300,0.1216022246380371,40,56,0.7028953142543801,0.5263435477198559,0.038927736984817427,0.0036631634829498855
36,COMPLETE,0.48054333997646953,0.199031,10,200,0.04775159212777796,32,50,0.6646746443356958,0.5149823061053104,3.8731769435690704,0.6794962139375891
37,COMPLETE,0.5611986567361535,0.271303,4,200,0.07414309954336627,13,55,0.8692593306234058,0.5808138906167349,0.00019495996033611464,0.039705221480591454
38,COMPLETE,0.5743637943819023,0.22996,6,300,0.08958129631769725,49,51,0.8188341577750052,0.5472782316939825,1.0113741671001193,0.1287146802219422
39,COMPLETE,0.5483580794401773,0.820017,8,600,0.11010252152335616,58,58,0.9048848103382662,0.5013099826348815,0.0018729493086897143,0.013205257413393805
40,COMPLETE,0.5745384921242707,0.92553,10,500,0.06673652387025118,63,9,0.7736583970645962,0.6457645266004977,0.05185887202675511,0.029668144085860604
41,COMPLETE,0.45348346785266674,0.288746,6,200,0.014900224018757003,41,19,0.8299936058368854,0.5973883356197088,0.22788152727479383,28.154943282136486
42,COMPLETE,0.582851891978125,0.358667,6,600,0.123185709775316,61,34,0.8721447080466497,0.662493498509559,0.5202022207208428,0.3806558265520772
43,COMPLETE,0.5525473704149585,0.27799,6,600,0.1274682355010907,32,28,0.8568931678207359,0.7309342562282108,1.820669319551838,0.22439190256668706
44,COMPLETE,0.4419503969923859,0.238076,6,600,0.1010243682948732,50,35,0.9267180678870561,0.5741153970046977,6.820920014820192,2.305224213443817
45,COMPLETE,0.5804188594574148,0.454797,4,600,0.11306055224607531,14,40,0.8719344182738334,0.6721148329848076,0.37375353389262905,0.5852364612339327
