feature,importance
mean_r_all_pm,0.16047771812210437
delta_entropy_c_l,0.08935851711791437
mean_atwt_geometric_mean_all,0.08068936632320779
mean_field_x_r_diff,0.05484635690897474
mean_entropy_c_l,0.05284361917281812
delta_atwt_geometric_mean_all,0.046648378634863284
mean_chi_all,0.04036452015025984
composition_L1_distance,0.03778741682798657
mean_log10_phi_plus_incl_li,0.03420071469773842
mean_n_Li,0.03264989876415056
abs_delta_field_x_r_diff,0.031158793922224804
mean_log10_rho_plus_incl_li,0.030907286568689546
delta_log_rho_ratio,0.02780186689133372
delta_chi_all,0.02697140435028518
delta_field_x_r_diff,0.023778231393326046
family_halides,0.022519122616228873
delta_log10_rho_plus_incl_li,0.020855544148435167
delta_ir_mean_square_all,0.02070895902826735
delta_r_all_pm,0.020518660839266484
delta_n_host_cation,0.02032853086742295
delta_log10_phi_plus_incl_li,0.01753946650223506
abs_delta_log10_rho_plus_incl_li,0.016622479568834544
abs_delta_log10_phi_plus_incl_li,0.01467845152189178
abs_delta_entropy_c_l,0.01449220470581581
delta_n_Li,0.011721697943226986
delta_r_minus_pm,0.010188086077500585
abs_delta_n_Li,0.009887616677262484
delta_chi_minus,0.009080446755233642
family_chalcogenidotetrelates,0.0046900141109781
family_oxyhalides,0.003907796212480581
family_argyrodites,0.003827650626742162
family_lgps,0.0034421437194033524
family_thio_lisicon,0.002717786644381813
family_lisicon,0.0005840910570571801
family_garnet,0.00045886435485184156
family_perovskites,0.00040566356519864224
family_nasicon,0.0002229664542058206
family_sulfides,0.00011766615720134133
family_oxides,5.299574099685695e-19
family_antiperovskite,0.0
family_hexaoxometalates,0.0
family_hydrides,0.0
family_molybdates,0.0
family_lanthanumlithiumoxide,0.0
family_phosphates,0.0
family_thio_phosphate,0.0
