trial,state,value,duration_seconds,param_max_features_kind,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features_float
0,COMPLETE,0.5813483030798571,1.601025,log2,500,10.0,20,9,
1,COMPLETE,0.5720607740478308,0.998977,sqrt,300,10.0,10,8,
2,COMPLETE,0.5690413053706945,1.982261,float,500,10.0,15,5,0.3325152889039984
3,COMPLETE,0.5733084012018902,2.354015,log2,700,30.0,16,10,
4,COMPLETE,0.5891492926314964,1.505031,float,300,15.0,12,2,0.36194475143634364
5,COMPLETE,0.5224798724459593,1.748554,float,300,6.0,4,9,0.8405713385076601
6,COMPLETE,0.5739382421016792,1.116119,sqrt,300,10.0,16,6,
7,COMPLETE,0.5797122264745478,1.432865,sqrt,400,30.0,6,5,
8,COMPLETE,0.5771882417977089,0.970873,sqrt,300,6.0,18,6,
9,COMPLETE,0.6113464557619047,0.799966,log2,200,10.0,6,2,
10,COMPLETE,0.6061287643718509,0.91494,log2,200,20.0,2,1,
11,COMPLETE,0.6061287643718509,0.965199,log2,200,20.0,2,1,
12,COMPLETE,0.5704947718216986,0.984089,log2,200,,7,3,
13,COMPLETE,0.5740930107069856,0.967958,log2,200,20.0,2,3,
14,COMPLETE,0.5883245610306206,2.622085,log2,700,8.0,8,1,
15,COMPLETE,0.5765122431014756,1.436547,log2,400,20.0,5,3,
16,COMPLETE,0.5833343029000215,2.248017,log2,600,15.0,9,1,
17,COMPLETE,0.5634578341267837,0.82074,log2,200,8.0,4,4,
18,COMPLETE,0.5980865859543597,1.432483,log2,400,,13,2,
19,COMPLETE,0.5449212581343091,2.172556,float,200,20.0,2,2,0.9965306085703254
20,COMPLETE,0.5771458794317024,1.98852,log2,600,10.0,4,7,
21,COMPLETE,0.6061287643718509,0.833938,log2,200,20.0,2,1,
22,COMPLETE,0.588984500751942,0.814913,log2,200,20.0,6,1,
23,COMPLETE,0.5831102831626843,1.203793,log2,300,20.0,3,4,
24,COMPLETE,0.5794592751793612,0.769174,log2,200,20.0,6,2,
25,COMPLETE,0.5777576638430814,0.774683,log2,200,20.0,4,4,
26,COMPLETE,0.6132236422304954,1.196648,log2,300,,8,1,
27,COMPLETE,0.5684428780124416,1.118419,log2,300,,8,3,
28,COMPLETE,0.5745721089633801,1.508632,sqrt,400,,11,2,
29,COMPLETE,0.6101958131379216,3.542938,float,500,,8,1,0.6101114368939258
30,COMPLETE,0.6100881215585997,3.638452,float,500,,9,2,0.6200192763670852
31,COMPLETE,0.6208249567481244,3.793852,float,500,,9,2,0.6067019113088136
32,COMPLETE,0.5814267152975231,4.118315,float,600,,10,3,0.6040493902294879
33,COMPLETE,0.6120130333518069,3.62732,float,500,,8,1,0.5174510230141152
34,COMPLETE,0.6112841579888201,3.15538,float,500,10.0,10,2,0.4841267339568915
35,COMPLETE,0.5514390273985411,5.553972,float,600,,13,4,0.7876862066335972
36,COMPLETE,0.5732840138738237,2.648562,float,500,10.0,7,8,0.45936737185374316
37,COMPLETE,0.620646429089092,3.036772,float,400,30.0,11,3,0.7406782652195836
38,COMPLETE,0.6164803060407777,3.042789,float,400,30.0,12,3,0.7563593155469994
39,COMPLETE,0.5827686531656967,3.219078,float,400,30.0,14,5,0.7476279263896145
40,COMPLETE,0.5398594241596877,3.004152,float,400,30.0,12,10,0.7221614125990453
41,COMPLETE,0.5912918845164447,3.393968,float,500,30.0,11,3,0.512447229355148
42,COMPLETE,0.6109244115141826,3.566573,float,400,30.0,9,1,0.8571074333255011
43,COMPLETE,0.5283861886542218,2.446339,float,500,6.0,10,2,0.6873917228933271
44,COMPLETE,0.5860344822689494,1.748586,float,300,30.0,12,5,0.5442668692037315
45,COMPLETE,0.5903242781053235,2.603456,float,400,15.0,15,3,0.6630381703940035
46,COMPLETE,0.5733315426436735,2.017626,sqrt,500,,7,4,
47,COMPLETE,0.6187097499665731,2.758218,float,300,30.0,11,2,0.8154051615920259
48,COMPLETE,0.5525540387588018,2.432772,float,300,30.0,20,6,0.9222632280759872
49,COMPLETE,0.5922018320692924,1.374268,sqrt,300,30.0,17,3,
