feature,importance
mean_r_all_pm,0.06990092992782593
family_halides,0.066921167075634
delta_r_minus_pm,0.06638264656066895
mean_log10_rho_plus_incl_li,0.0454193539917469
family_lgps,0.04334438592195511
delta_chi_minus,0.041864488273859024
delta_entropy_c_l,0.03976922482252121
mean_field_x_r_diff,0.038876596838235855
mean_atwt_geometric_mean_all,0.03446607664227486
mean_chi_all,0.03394900634884834
composition_L1_distance,0.03168383985757828
delta_n_host_cation,0.03154287859797478
mean_n_Li,0.03095369040966034
delta_atwt_geometric_mean_all,0.03002445213496685
mean_log10_phi_plus_incl_li,0.02982957288622856
delta_chi_all,0.02879868634045124
delta_log10_rho_plus_incl_li,0.027192939072847366
delta_log_rho_ratio,0.02664676122367382
abs_delta_field_x_r_diff,0.025969907641410828
family_perovskites,0.02554059773683548
delta_field_x_r_diff,0.025376735255122185
delta_ir_mean_square_all,0.0237570870667696
mean_entropy_c_l,0.023622900247573853
delta_log10_phi_plus_incl_li,0.022855032235383987
abs_delta_log10_phi_plus_incl_li,0.022102849557995796
delta_r_all_pm,0.021129289641976357
abs_delta_n_Li,0.020740080624818802
abs_delta_entropy_c_l,0.020195934921503067
abs_delta_log10_rho_plus_incl_li,0.019098306074738503
delta_n_Li,0.018793195486068726
family_garnet,0.013251339085400105
family_chalcogenidotetrelates,0.0
family_antiperovskite,0.0
family_argyrodites,0.0
family_hydrides,0.0
family_lanthanumlithiumoxide,0.0
family_lisicon,0.0
family_hexaoxometalates,0.0
family_molybdates,0.0
family_nasicon,0.0
family_oxides,0.0
family_oxyhalides,0.0
family_phosphates,0.0
family_sulfides,0.0
family_thio_lisicon,0.0
family_thio_phosphate,0.0
